Venda.Código,Venda.Data,Produto.Código,Produto,Quantidade,Produto.Fornecedor,Custo Total,Venda.Valor Total Desconto,Valor Total,Pagamento
912,10/05/2025,293,0293 - CANECA MINI TINA 100ML PERSONAGEM,1,ZONA CRIATIVA," R$  16,90 ", R$  -   ," R$  39,00 ",Cartão de Débito
912,10/05/2025,319,0319 - CANECA MAGGIE 400ML MAE,1,ZONA CRIATIVA," R$  35,90 ", R$  -   ," R$  82,00 ",Cartão de Débito
912,10/05/2025,646,0646 - CADERNO LIVRO HARRY POTTER,1,AP BRAS OU MERCADO LIVRE," R$  30,00 ", R$  -   ," R$  69,00 ",Cartão de Débito
911,10/05/2025,464,0464 - CANECA 350ML C/INFUSOR ENCHA SUA VIDA,1,ZONA CRIATIVA," R$  28,90 ", R$  -   ," R$  84,00 ",Cartão de Crédito
911,10/05/2025,578,0578 - CANECA 3D DECORADA 500ML NEO,1,NEO PORCELANAS LTDA," R$  16,00 ", R$  -   ," R$  59,00 ",Cartão de Crédito
910,10/05/2025,657,0657 - KIT CANECAS EMPILHAVEIS MAE,1,ZONA CRIATIVA," R$  44,90 ", R$  -   ," R$  96,00 ",Cartão de Crédito
909,10/05/2025,657,0657 - KIT CANECAS EMPILHAVEIS MAE,1,ZONA CRIATIVA," R$  44,90 "," R$  4,80 "," R$  91,20 ",PIX
908,09/05/2025,348,0348 - NECESSAIRE MEDIA COM ALÇA,1,AP BRAS OU MERCADO LIVRE," R$  17,00 ", R$  -   ," R$  49,00 ",Cartão de Débito
907,09/05/2025,578,0578 - CANECA 3D DECORADA 500ML NEO,1,NEO PORCELANAS LTDA," R$  16,00 "," R$  2,95 "," R$  56,05 ",Dinheiro
906,09/05/2025,146,0146 - CAIXA MAE AMOR INCONDICIONAL,1,GEGUTON," R$  29,64 "," R$  4,45 "," R$  84,55 ",Dinheiro
905,09/05/2025,C9,C9 - CANETA FOFA STITCH / SPIN / PELUCIA,1,AP BRAS OU MERCADO LIVRE," R$  6,00 "," R$  4,60 "," R$  22,80 ",Dinheiro
905,09/05/2025,644,0644 - CADERNO AGENDA INTELIGENTE,1,AP BRAS OU MERCADO LIVRE," R$  25,00 "," R$  4,60 "," R$  64,60 ",Dinheiro
904,09/05/2025,522,0522 - CHAVEIRO SILICONE DIVERSOS,1,AP BRAS OU MERCADO LIVRE," R$  9,00 ", R$  -   ," R$  23,50 ",PIX
903,09/05/2025,567,0567 - GLOBO LUMINARIA DE MESA DIVERSOS,1,XNAMAI IMPORTADORA," R$  18,00 "," R$  7,30 "," R$  48,60 ",Cartão de Débito
903,09/05/2025,648,0648 - CARTELA ADESIVOS DIVERSOS,1,AP BRAS OU MERCADO LIVRE," R$  7,00 "," R$  7,30 "," R$  17,10 ",Cartão de Débito
902,08/05/2025,319,0319 - CANECA MAGGIE 400ML MAE,1,ZONA CRIATIVA," R$  35,90 "," R$  4,10 "," R$  77,90 ",Cartão de Débito
901,08/05/2025,554,0554 - CADERNO DISCO GRANDE 21X29 CAPA DURA,1,AP BRAS OU MERCADO LIVRE," R$  30,00 ", R$  -   ," R$  94,00 ",Cartão de Crédito
901,08/05/2025,419,0419 - CARTELA NOTAS ADESIVAS GATA,1,UATT PRESENTES IMPORTADOS," R$  15,40 ", R$  -   ," R$  42,00 ",Cartão de Crédito
901,08/05/2025,150,0150 - PORTA TRECO REDONDO,6,GEGUTON," R$  95,22 ", R$  -   ," R$  211,20 ",Cartão de Crédito
901,08/05/2025,C3,C3 - CANETA FOFA ESPECIAL,2,AP BRAS OU MERCADO LIVRE," R$  6,00 ", R$  -   ," R$  23,00 ",Cartão de Crédito
901,08/05/2025,251,0251 - COPO MUNICH C/ 2UN - EU VOCE E UMA CERVEJA,1,BRASFOOT," R$  23,98 ", R$  -   ," R$  64,00 ",Cartão de Crédito
901,08/05/2025,348,0348 - NECESSAIRE MEDIA COM ALÇA,1,AP BRAS OU MERCADO LIVRE," R$  17,00 ", R$  -   ," R$  44,10 ",Cartão de Crédito
