Venda.Código,Venda.Data,Produto.Código,Produto,Quantidade,Produto.Fornecedor,Custo Total,Venda.Valor Total Desconto,Valor Total,Pagamento
692,11/01/2025,C8,C8 - CANETA FOFA MULTICORES / LED,1,AP BRAS OU MERCADO LIVRE," R$  6,00 ", R$  -   ," R$  22,00 ",Dinheiro
691,11/01/2025,C3,C3 - CANETA FOFA ESPECIAL,1,AP BRAS OU MERCADO LIVRE," R$  3,00 ", R$  -   ," R$  12,50 ",Dinheiro
691,11/01/2025,449,0449 - CANECA BUCK 400ML CORINGA,1,ZONA CRIATIVA," R$  19,90 ", R$  -   ," R$  68,00 ",Dinheiro
690,10/01/2025,604,0604 - CANECA CUBO 300ML AMIGA HIGH FIVE,1,ZONA CRIATIVA," R$  12,90 "," R$  2,95 "," R$  56,05 ",PIX
689,09/01/2025,415,0415 - COPO TÉRMICO TERMOMETRO,1,AP BRAS OU MERCADO LIVRE," R$  32,00 "," R$  39,00 "," R$  30,00 ",Cartão de Crédito
688,08/01/2025,449,0449 - CANECA BUCK 400ML CORINGA,1,ZONA CRIATIVA," R$  19,90 ", R$  -   ," R$  68,00 ",Cartão de Crédito
688,08/01/2025,477,0477 - CANECA MOMA 500ML GROGU,1,ZONA CRIATIVA," R$  29,90 ", R$  -   ," R$  86,00 ",Cartão de Crédito
687,08/01/2025,C1,C1 - CANETA SIMPLES OU MARCA TEXTO PERSONAGENS,1,AP BRAS OU MERCADO LIVRE," R$  2,00 ", R$  -   ," R$  9,00 ",Cartão de Crédito
686,07/01/2025,503,0503 - BLOCO DE NOTAS YAAY DIVERSOS,2,YAAY PRESENTES," R$  7,80 ", R$  -   ," R$  24,00 ",Cartão de Crédito
686,07/01/2025,C2,C2 - CANETA FOFA PERSO / CHOC,2,AP BRAS OU MERCADO LIVRE," R$  5,00 ", R$  -   ," R$  24,00 ",Cartão de Crédito
686,07/01/2025,522,0522 - CHAVEIRO SILICONE DIVERSOS,2,AP BRAS OU MERCADO LIVRE," R$  18,00 ", R$  -   ," R$  47,00 ",Cartão de Crédito
685,07/01/2025,C6,C6 - CANETA FOFA LUXO / APAGAVEL,1,AP BRAS OU MERCADO LIVRE," R$  3,50 ", R$  -   ," R$  14,50 ",Dinheiro
684,07/01/2025,535,0535 - KIT C/ 4 COPOS AMERICANOS - PROTECAO,1,SIMAS PRESENTARIA COMERCIO DE PRESENTES LTDA," R$  16,90 ", R$  -   ," R$  62,00 ",Cartão de Débito
683,07/01/2025,C2,C2 - CANETA FOFA PERSO / CHOC,1,AP BRAS OU MERCADO LIVRE," R$  2,50 "," R$  2,70 "," R$  11,40 ",PIX
683,07/01/2025,360,0360 - CADERNO PELUCIA,1,AP BRAS OU MERCADO LIVRE," R$  15,00 "," R$  2,70 "," R$  39,90 ",PIX
682,06/01/2025,C1,C1 - CANETA SIMPLES OU MARCA TEXTO PERSONAGENS,2,AP BRAS OU MERCADO LIVRE," R$  4,00 "," R$  2,00 "," R$  17,37 ",PIX
682,06/01/2025,51,0051 - CANECA MELHOR PAI DO MUNDO,1,SIMAS PRESENTARIA COMERCIO DE PRESENTES LTDA," R$  5,50 "," R$  2,00 "," R$  37,63 ",PIX
681,06/01/2025,452,0452 - CANECA MINI TINA 100ML BELLA,1,ZONA CRIATIVA," R$  12,90 ", R$  -   ," R$  39,00 ",Cartão de Débito
681,06/01/2025,503,0503 - BLOCO DE NOTAS YAAY DIVERSOS,1,YAAY PRESENTES," R$  3,90 ", R$  -   ," R$  12,00 ",Cartão de Débito
680,06/01/2025,313,0313 - CANECA MINI TINA 100ML MARVEL,1,ZONA CRIATIVA," R$  12,26 ", R$  -   ," R$  39,00 ",Cartão de Débito
679,04/01/2025,120,0120 - KIT CORTADOR DE UNHA 7PCS,1,RMC2 COMERCIO DE VARIEDADES LTDA," R$  11,99 "," R$  9,00 "," R$  27,00 ",Dinheiro
678,04/01/2025,550,0550 - BOX LUMINARIA AMIGOS CERVEJA,1,USARE LUMINÁRIAS," R$  68,90 "," R$  8,60 "," R$  163,40 ",Dinheiro
677,04/01/2025,514,0514 - CADERNO ESPIRAL STITCH 15X21,1,AP BRAS OU MERCADO LIVRE," R$  20,00 ", R$  -   ," R$  54,00 ",PIX
676,03/01/2025,620,0620 - SOMBRINHA / GUARDA CHUVA,1,AP BRAS OU MERCADO LIVRE," R$  8,00 ", R$  -   ," R$  30,00 ",Dinheiro
675,03/01/2025,23,0023 - ALMOFADA AVÓ 30X30,1,SIMAS PRESENTARIA COMERCIO DE PRESENTES LTDA," R$  16,90 ", R$  -   ," R$  39,00 ",Cartão de Crédito
674,03/01/2025,45,0045 - CANECA LOVE DOGS ROSA,1,SIMAS PRESENTARIA COMERCIO DE PRESENTES LTDA," R$  21,90 ", R$  -   ," R$  59,00 ",Cartão de Crédito
674,03/01/2025,575,0575 - XÍCARA CONICA DECORADA 120ML NEO,1,NEO PORCELANAS LTDA," R$  8,50 ", R$  -   ," R$  32,00 ",Cartão de Crédito
673,02/01/2025,277,0277 - TACA VINHO C/ 2UN - UM BOM VINHO,1,BRASFOOT," R$  34,98 "," R$  2,00 "," R$  84,33 ",Cartão de Crédito
673,02/01/2025,167,0167 - CHAVEIRO EMBORR DIVERSOS M,2,AP BRAS OU MERCADO LIVRE," R$  5,60 "," R$  2,00 "," R$  16,67 ",Cartão de Crédito
672,31/12/2024,119,0119 - COPO C CANUDO CAFE SERPIA VIDRO,1,RMC2 COMERCIO DE VARIEDADES LTDA," R$  13,99 ", R$  -   ," R$  48,00 ",PIX
671,31/12/2024,446,0446 - CANECA MINI TINA 100ML WOOD,1,ZONA CRIATIVA," R$  12,90 "," R$  3,65 "," R$  37,05 ",PIX
671,31/12/2024,15,0015 - JOGO PORTA COPOS MARIO BLOCOS,1,YAAY PRESENTES," R$  9,90 "," R$  3,65 "," R$  32,30 ",PIX
670,31/12/2024,260,0260 - LATA PORTA JOIAS - BIJOUX BOLINHAS,1,BRASFOOT," R$  19,98 ", R$  -   ," R$  49,00 ",Cartão de Crédito
669,30/12/2024,620,0620 - SOMBRINHA / GUARDA CHUVA,1,AP BRAS OU MERCADO LIVRE," R$  8,00 ", R$  -   ," R$  30,00 ",Cartão de Crédito
668,30/12/2024,441,0441 - CANECA MINI TINA 100ML INSPIRACAO BOM CAFE,1,ZONA CRIATIVA," R$  9,90 "," R$  20,10 "," R$  30,60 ",Cartão de Crédito
668,30/12/2024,442,0442 - CANECA MINI TINA 100ML CAFE FRESCO,2,ZONA CRIATIVA," R$  19,80 "," R$  20,10 "," R$  61,20 ",Cartão de Crédito
668,30/12/2024,440,0440 - CANECA MINI TINA 100ML PASSAR DOS CAFES,1,ZONA CRIATIVA," R$  9,90 "," R$  20,10 "," R$  30,60 ",Cartão de Crédito
668,30/12/2024,C6,C6 - CANETA FOFA LUXO / APAGAVEL,2,AP BRAS OU MERCADO LIVRE," R$  7,00 "," R$  20,10 "," R$  26,10 ",Cartão de Crédito
668,30/12/2024,54,0054 - XÍCARA CAFE FORÇA E PROTEÇÃO,1,SIMAS PRESENTARIA COMERCIO DE PRESENTES LTDA," R$  10,90 "," R$  20,10 "," R$  32,40 ",Cartão de Crédito
667,30/12/2024,558,0558 - GARRAFA TERMICA ADULTO + 500ML,1,AP BRAS OU MERCADO LIVRE," R$  35,00 "," R$  4,80 "," R$  91,20 ",Dinheiro
666,30/12/2024,459,0459 - COPO TERMICO 500ML FOREVER PRETO,1,ZONA CRIATIVA," R$  34,50 "," R$  4,45 "," R$  84,55 ",Dinheiro
665,28/12/2024,85,0085 - JOGO 4 SHOTS VIDRO,1,MINAS DE PRESENTES LTDA," R$  18,97 "," R$  25,25 "," R$  44,25 ",PIX
665,28/12/2024,82,0082 - JOGO GIRO SHOT,1,MINAS DE PRESENTES LTDA," R$  18,97 "," R$  25,25 "," R$  31,50 ",PIX
664,28/12/2024,561,0561 - COFRE CACHORRO PUXADOR DE MOEDAS,1,XNAMAI IMPORTADORA," R$  36,40 "," R$  5,80 "," R$  110,20 ",Dinheiro
663,28/12/2024,386,0386 - CANECA CERÂMICA SOCO HULK,1,CRAZY MUGS," R$  24,90 "," R$  2,00 "," R$  68,21 ",Cartão de Débito
663,28/12/2024,486,0486 - CANECA 350ML C/INFUSOR PAI MODERNO,1,ZONA CRIATIVA," R$  28,90 "," R$  2,00 "," R$  75,13 ",Cartão de Débito
663,28/12/2024,C6,C6 - CANETA FOFA LUXO / APAGAVEL,2,AP BRAS OU MERCADO LIVRE," R$  7,00 "," R$  2,00 "," R$  28,67 ",Cartão de Débito
662,28/12/2024,576,0576 - KIT XÍCARA E PIRES 120ML NEO,1,NEO PORCELANAS LTDA," R$  19,90 "," R$  2,95 "," R$  56,05 ",PIX
661,28/12/2024,457,0457 - CANECA CAMPANHIA COMO SE NAO HOUVESSE,1,ZONA CRIATIVA," R$  24,90 "," R$  3,30 "," R$  62,70 ",PIX
660,28/12/2024,522,0522 - CHAVEIRO SILICONE DIVERSOS,1,AP BRAS OU MERCADO LIVRE," R$  9,00 ", R$  -   ," R$  23,50 ",Cartão de Débito
660,28/12/2024,354,0354 - CHAVEIRO STITCH SILICONE,3,AP BRAS OU MERCADO LIVRE," R$  24,00 ", R$  -   ," R$  75,00 ",Cartão de Débito
659,27/12/2024,283,0283 - TACA WINDSOR - COISAS QUE TE FAZEM,1,BRASFOOT," R$  17,98 ", R$  -   ," R$  46,00 ",Cartão de Débito
658,27/12/2024,C7,C7 - CANETA LED OU MARCA TEXTO 3 PONTAS,2,AP BRAS OU MERCADO LIVRE," R$  10,00 "," R$  2,00 "," R$  37,22 ",Cartão de Crédito
658,27/12/2024,579,0579 - CANECA PEQ PRINCIPE 500ML NEO,1,NEO PORCELANAS LTDA," R$  16,00 "," R$  2,00 "," R$  57,78 ",Cartão de Crédito
657,27/12/2024,C2,C2 - CANETA FOFA PERSO / CHOC,1,AP BRAS OU MERCADO LIVRE," R$  2,50 ", R$  -   ," R$  12,00 ",PIX
656,27/12/2024,556,0556 - GARRAFA TERMICA 420 A 500ML DIVERSAS,1,AP BRAS OU MERCADO LIVRE," R$  28,00 "," R$  52,65 "," R$  67,15 ",Cartão de Débito
656,27/12/2024,268,0268 - MARMITA REDONDA - APROVEITE SEU DIA,1,BRASFOOT," R$  15,98 "," R$  52,65 "," R$  37,40 ",Cartão de Débito
656,27/12/2024,613,0613 - GARRAFA CORKY EMBORRACHADA 500ML GOT,1,ZONA CRIATIVA," R$  29,90 "," R$  52,65 "," R$  92,65 ",Cartão de Débito
656,27/12/2024,C3,C3 - CANETA FOFA ESPECIAL,2,AP BRAS OU MERCADO LIVRE," R$  6,00 "," R$  52,65 "," R$  21,25 ",Cartão de Débito
656,27/12/2024,339,0339 - MARMITA NUVEM COM TALHER,1,AP BRAS OU MERCADO LIVRE," R$  20,00 "," R$  52,65 "," R$  44,20 ",Cartão de Débito
656,27/12/2024,414,0414 - FONE DE OUVIDO LAÇO,1,AP BRAS OU MERCADO LIVRE," R$  13,90 "," R$  52,65 "," R$  35,70 ",Cartão de Débito
655,26/12/2024,102,0102 - MARMITA DONUTS COM TALHER,1,AP BRAS OU MERCADO LIVRE," R$  20,00 ", R$  -   ," R$  52,00 ",PIX
654,26/12/2024,167,0167 - CHAVEIRO EMBORR DIVERSOS M,1,AP BRAS OU MERCADO LIVRE," R$  2,80 ", R$  -   ," R$  8,50 ",Cartão de Crédito
653,26/12/2024,440,0440 - CANECA MINI TINA 100ML PASSAR DOS CAFES,1,ZONA CRIATIVA," R$  9,90 ", R$  -   ," R$  34,00 ",Cartão de Crédito
653,26/12/2024,557,0557 - GARRAFA TERMICA 500ML COM CANUDO,1,AP BRAS OU MERCADO LIVRE," R$  28,00 ", R$  -   ," R$  84,00 ",Cartão de Crédito
653,26/12/2024,C3,C3 - CANETA FOFA ESPECIAL,1,AP BRAS OU MERCADO LIVRE," R$  3,00 ", R$  -   ," R$  12,50 ",Cartão de Crédito
652,24/12/2024,575,0575 - XÍCARA CONICA DECORADA 120ML NEO,1,NEO PORCELANAS LTDA," R$  8,50 "," R$  3,40 "," R$  30,40 ",PIX
652,24/12/2024,219,0219 - COPO CANUDO SLIM - BUBU,1,UATT PRESENTES IMPORTADOS," R$  7,50 "," R$  3,40 "," R$  34,20 ",PIX
651,24/12/2024,556,0556 - GARRAFA TERMICA 420 A 500ML DIVERSAS,1,AP BRAS OU MERCADO LIVRE," R$  28,00 "," R$  3,95 "," R$  75,05 ",PIX
650,24/12/2024,606,0606 - CANECA CUBO 300ML THE BATMAN,1,ZONA CRIATIVA," R$  12,90 ", R$  -   ," R$  64,00 ",Cartão de Crédito
649,24/12/2024,581,0581 - CANECA RETA GRATIDAO 300ML NEO,1,NEO PORCELANAS LTDA," R$  13,50 ", R$  -   ," R$  46,00 ",Cartão de Crédito
648,24/12/2024,115,0115 - LUMINARIA LED RECADO,1,RMC2 COMERCIO DE VARIEDADES LTDA," R$  15,99 ", R$  -   ," R$  44,00 ",Cartão de Crédito
648,24/12/2024,497,0497 - ALMOFADA VELUDO 25X25 STITCH,1,ZONA CRIATIVA," R$  16,90 ", R$  -   ," R$  46,00 ",Cartão de Crédito
647,24/12/2024,120,0120 - KIT CORTADOR DE UNHA 7PCS,1,RMC2 COMERCIO DE VARIEDADES LTDA," R$  11,99 ", R$  -   ," R$  36,00 ",PIX
646,24/12/2024,503,0503 - BLOCO DE NOTAS YAAY DIVERSOS,1,YAAY PRESENTES," R$  3,90 ", R$  -   ," R$  12,00 ",Cartão de Débito
645,24/12/2024,87,0087 - TAÇA CERVEJA MÃES,1,PLANETA COM IMP E EXPORTACAO LTDA," R$  17,79 ", R$  -   ," R$  39,00 ",Cartão de Crédito
645,24/12/2024,575,0575 - XÍCARA CONICA DECORADA 120ML NEO,1,NEO PORCELANAS LTDA," R$  8,50 ", R$  -   ," R$  32,00 ",Cartão de Crédito
644,24/12/2024,C1,C1 - CANETA SIMPLES OU MARCA TEXTO PERSONAGENS,1,AP BRAS OU MERCADO LIVRE," R$  2,00 ", R$  -   ," R$  9,00 ",Dinheiro
644,24/12/2024,357,0357 - BLOCO PERFUMADO CHOCOLATE,1,AP BRAS OU MERCADO LIVRE," R$  7,50 ", R$  -   ," R$  22,00 ",Dinheiro
643,24/12/2024,65,0065 - NECESSAIRE TURMA DA MONICA,1,MINAS DE PRESENTES LTDA," R$  21,68 ", R$  -   ," R$  64,00 ",PIX
642,23/12/2024,344,0344 - COPO CANUDO DISNEY 450ML,1,MINAS DE PRESENTES LTDA," R$  18,00 ", R$  -   ," R$  52,00 ",Cartão de Débito
641,23/12/2024,C8,C8 - CANETA FOFA MULTICORES / LED,1,AP BRAS OU MERCADO LIVRE," R$  6,00 ", R$  -   ," R$  22,00 ",Cartão de Crédito
640,23/12/2024,C3,C3 - CANETA FOFA ESPECIAL,1,AP BRAS OU MERCADO LIVRE," R$  3,00 "," R$  3,43 "," R$  11,87 ",PIX
640,23/12/2024,C2,C2 - CANETA FOFA PERSO / CHOC,1,AP BRAS OU MERCADO LIVRE," R$  2,50 "," R$  3,43 "," R$  11,40 ",PIX
640,23/12/2024,115,0115 - LUMINARIA LED RECADO,1,RMC2 COMERCIO DE VARIEDADES LTDA," R$  15,99 "," R$  3,43 "," R$  41,80 ",PIX
639,23/12/2024,423,0423 - CANECA PRETA COM COADOR,1,UATT PRESENTES IMPORTADOS," R$  23,38 ", R$  -   ," R$  68,00 ",Cartão de Débito
639,23/12/2024,579,0579 - CANECA PEQ PRINCIPE 500ML NEO,1,NEO PORCELANAS LTDA," R$  16,00 ", R$  -   ," R$  59,00 ",Cartão de Débito
638,23/12/2024,500,0500 - ALMOFADA VELUDO 40X40 DIVERTIDAMENTE,1,ZONA CRIATIVA," R$  32,90 ", R$  -   ," R$  89,00 ",Cartão de Débito
637,23/12/2024,522,0522 - CHAVEIRO SILICONE DIVERSOS,1,AP BRAS OU MERCADO LIVRE," R$  9,00 ", R$  -   ," R$  23,50 ",Cartão de Crédito
637,23/12/2024,C7,C7 - CANETA LED OU MARCA TEXTO 3 PONTAS,1,AP BRAS OU MERCADO LIVRE," R$  5,00 ", R$  -   ," R$  19,00 ",Cartão de Crédito
637,23/12/2024,215,0215 - QUADRO PORTA ROLHAS - MOMENTO DO VINHO,1,UATT PRESENTES IMPORTADOS," R$  32,90 ", R$  -   ," R$  78,00 ",Cartão de Crédito
636,23/12/2024,401,0401 - TULIPA CHOPP 300ML MAIS CERVEJA,1,ALL MIX," R$  9,85 "," R$  2,60 "," R$  34,20 ",PIX
636,23/12/2024,123,0123 - ABRIDOR DE GARRAFA METAL PRETO C IMA,1,RMC2 COMERCIO DE VARIEDADES LTDA," R$  3,99 "," R$  2,60 "," R$  15,20 ",PIX
635,23/12/2024,82,0082 - JOGO GIRO SHOT,1,MINAS DE PRESENTES LTDA," R$  18,97 "," R$  10,50 "," R$  31,50 ",PIX
634,23/12/2024,375,0375 - CANECA CERÂMICA CALDEIRAO SIGNO,1,CRAZY MUGS," R$  24,90 "," R$  5,35 "," R$  65,55 ",PIX
634,23/12/2024,214,0214 - MARMITA REDONDA MINI - FOLHAGEM,1,UATT PRESENTES IMPORTADOS," R$  13,06 "," R$  5,35 "," R$  36,10 ",PIX
633,20/12/2024,167,0167 - CHAVEIRO EMBORR DIVERSOS M,1,AP BRAS OU MERCADO LIVRE," R$  2,80 ", R$  -   ," R$  8,50 ",PIX
633,20/12/2024,436,0436 - MARMITA GRANDE GATINHA POA,1,UATT PRESENTES IMPORTADOS," R$  13,99 ", R$  -   ," R$  52,00 ",PIX
633,20/12/2024,C6,C6 - CANETA FOFA LUXO / APAGAVEL,1,AP BRAS OU MERCADO LIVRE," R$  3,50 ", R$  -   ," R$  14,50 ",PIX
632,20/12/2024,542,0542 - MORINGA DE AGUA 500 ML - MAE RAINHA,1,SIMAS PRESENTARIA COMERCIO DE PRESENTES LTDA," R$  35,90 ", R$  -   ," R$  109,00 ",Cartão de Débito
631,20/12/2024,358,0358 - BLOCO DE NOTAS FOFO ELASTICO,1,AP BRAS OU MERCADO LIVRE," R$  3,50 ", R$  -   ," R$  14,00 ",Dinheiro
630,20/12/2024,603,0603 - CANECAO TERMICO 730ML PASSAR DO PONTO,1,ZONA CRIATIVA," R$  24,90 ", R$  -   ," R$  86,00 ",Cartão de Crédito
629,20/12/2024,412,0412 - CAIXA DE SOM BLUETOOTH LED,1,AP BRAS OU MERCADO LIVRE," R$  46,00 "," R$  19,60 "," R$  78,40 ",Dinheiro
628,20/12/2024,362,0362 - KIT MARCA TEXTO,1,AP BRAS OU MERCADO LIVRE," R$  8,50 "," R$  8,95 "," R$  26,60 ",Cartão de Crédito
628,20/12/2024,553,0553 - CADERNO DISCO MEDIO 19X26 CAPA DURA,1,AP BRAS OU MERCADO LIVRE," R$  28,00 "," R$  8,95 "," R$  81,70 ",Cartão de Crédito
628,20/12/2024,520,0520 - KIT BORRACHA MARMITINHA,1,AP BRAS OU MERCADO LIVRE," R$  10,00 "," R$  8,95 "," R$  27,55 ",Cartão de Crédito
628,20/12/2024,C2,C2 - CANETA FOFA PERSO / CHOC,1,AP BRAS OU MERCADO LIVRE," R$  2,50 "," R$  8,95 "," R$  11,40 ",Cartão de Crédito
628,20/12/2024,C9,C9 - CANETA FOFA STITCH / SPIN / PELUCIA,1,AP BRAS OU MERCADO LIVRE," R$  6,00 "," R$  8,95 "," R$  22,80 ",Cartão de Crédito
627,20/12/2024,577,0577 - KIT 5PCS XÍCARA EMPILHÁVEL DIVERSOS,1,NEO PORCELANAS LTDA," R$  49,90 "," R$  6,45 "," R$  122,55 ",Cartão de Débito
626,19/12/2024,255,0255 - COPO SMART - PESSOAS ESPECIAIS,1,BRASFOOT," R$  17,98 ", R$  -   ," R$  43,00 ",Cartão de Débito
625,19/12/2024,18,0018 - ALMOFADA AVÔ 30X30,1,SIMAS PRESENTARIA COMERCIO DE PRESENTES LTDA," R$  12,90 "," R$  1,95 "," R$  37,05 ",Dinheiro
624,19/12/2024,C6,C6 - CANETA FOFA LUXO / APAGAVEL,1,AP BRAS OU MERCADO LIVRE," R$  3,50 ", R$  -   ," R$  14,50 ",Cartão de Crédito
624,19/12/2024,384,0384 - CANECA CERÂMICA FITNESS,1,CRAZY MUGS," R$  24,90 ", R$  -   ," R$  69,00 ",Cartão de Crédito
624,19/12/2024,503,0503 - BLOCO DE NOTAS YAAY DIVERSOS,1,YAAY PRESENTES," R$  3,90 ", R$  -   ," R$  12,00 ",Cartão de Crédito
623,18/12/2024,612,"0612 - GARRAFA WHEY 1,8LT ESTILO DE VIDA",1,ZONA CRIATIVA," R$  19,90 ", R$  -   ," R$  65,00 ",Cartão de Crédito
622,18/12/2024,332,0332 - KIT ALMOFADA DUPLO PIPOCA SUPERMARIO,1,ZONA CRIATIVA," R$  85,42 "," R$  9,45 "," R$  179,55 ",Cartão de Crédito
621,18/12/2024,102,0102 - MARMITA DONUTS COM TALHER,1,AP BRAS OU MERCADO LIVRE," R$  20,00 ", R$  -   ," R$  52,00 ",Cartão de Crédito
620,17/12/2024,C2,C2 - CANETA FOFA PERSO / CHOC,1,AP BRAS OU MERCADO LIVRE," R$  2,50 ", R$  -   ," R$  12,00 ",Dinheiro
619,17/12/2024,290,0290 - CANECA BUCK 400ML SUPERE LIMITES,1,ZONA CRIATIVA," R$  23,63 ", R$  -   ," R$  64,00 ",Cartão de Crédito
618,17/12/2024,C1,C1 - CANETA SIMPLES OU MARCA TEXTO PERSONAGENS,2,AP BRAS OU MERCADO LIVRE," R$  4,00 "," R$  22,80 "," R$  16,20 ",Cartão de Crédito
618,17/12/2024,517,0517 - CADERNO DISCO PEQUENO 15X21 CAPA DURA,1,AP BRAS OU MERCADO LIVRE," R$  20,00 "," R$  22,80 "," R$  55,80 ",Cartão de Crédito
618,17/12/2024,583,0583 - COPO VIAGEM SLIM 300ML WANDAVISION,1,ZONA CRIATIVA," R$  15,90 "," R$  22,80 "," R$  62,10 ",Cartão de Crédito
618,17/12/2024,593,0593 - COPO INCAN 500ML MANDALORIAN COFRE,1,ZONA CRIATIVA," R$  19,90 "," R$  22,80 "," R$  71,10 ",Cartão de Crédito
617,17/12/2024,C3,C3 - CANETA FOFA ESPECIAL,2,AP BRAS OU MERCADO LIVRE," R$  6,00 "," R$  2,00 "," R$  23,00 ",Dinheiro
616,17/12/2024,376,0376 - CANECA CERÂMICA AUTISMO,1,CRAZY MUGS," R$  22,90 ", R$  -   ," R$  64,00 ",Cartão de Crédito
616,17/12/2024,149,0149 - PORTA TRECO MAPA MUNDI,1,GEGUTON," R$  20,49 ", R$  -   ," R$  59,00 ",Cartão de Crédito
615,17/12/2024,106,0106 - NECESSAIRE ROSA NEON REDE,1,PLANETA COM IMP E EXPORTACAO LTDA," R$  18,18 "," R$  5,25 "," R$  43,70 ",PIX
615,17/12/2024,421,0421 - COPO TEXTURIZADO ROSA 700ML,1,UATT PRESENTES IMPORTADOS," R$  17,90 "," R$  5,25 "," R$  56,05 ",PIX
614,16/12/2024,167,0167 - CHAVEIRO EMBORR DIVERSOS M,1,AP BRAS OU MERCADO LIVRE," R$  2,80 ", R$  -   ," R$  8,50 ",Cartão de Débito
613,16/12/2024,541,0541 - MORINGA DE AGUA 500 ML - OLHO GREGO,1,SIMAS PRESENTARIA COMERCIO DE PRESENTES LTDA," R$  45,90 "," R$  5,45 "," R$  103,55 ",Cartão de Crédito
612,16/12/2024,360,0360 - CADERNO PELUCIA,1,AP BRAS OU MERCADO LIVRE," R$  15,00 ", R$  -   ," R$  42,00 ",Cartão de Débito
612,16/12/2024,520,0520 - KIT BORRACHA MARMITINHA,1,AP BRAS OU MERCADO LIVRE," R$  10,00 ", R$  -   ," R$  29,00 ",Cartão de Débito
611,14/12/2024,167,0167 - CHAVEIRO EMBORR DIVERSOS M,1,AP BRAS OU MERCADO LIVRE," R$  2,80 ", R$  -   ," R$  8,50 ",Cartão de Débito
611,14/12/2024,C2,C2 - CANETA FOFA PERSO / CHOC,1,AP BRAS OU MERCADO LIVRE," R$  2,50 ", R$  -   ," R$  12,00 ",Cartão de Débito
610,14/12/2024,C6,C6 - CANETA FOFA LUXO / APAGAVEL,1,AP BRAS OU MERCADO LIVRE," R$  3,50 ", R$  -   ," R$  14,50 ",Cartão de Crédito
609,14/12/2024,613,0613 - GARRAFA CORKY EMBORRACHADA 500ML GOT,1,ZONA CRIATIVA," R$  29,90 ", R$  -   ," R$  109,00 ",Cartão de Crédito
608,14/12/2024,195,0195 - CANECA RV PORCELANA,1,AP BRAS OU MERCADO LIVRE," R$  16,90 "," R$  16,90 ", R$  -   ,Outros
608,14/12/2024,26,0026 - LIXEIRA CARRO ESPOSA NEOPRENE,1,SIMAS PRESENTARIA COMERCIO DE PRESENTES LTDA," R$  18,90 "," R$  18,90 ", R$  -   ,Outros
608,14/12/2024,566,0566 - LUMINARIA 3D LED ARVORE DE NATAL,1,XNAMAI IMPORTADORA," R$  20,00 "," R$  20,00 ", R$  -   ,Outros
608,14/12/2024,119,0119 - COPO C CANUDO CAFE SERPIA VIDRO,1,RMC2 COMERCIO DE VARIEDADES LTDA," R$  13,99 "," R$  13,99 ", R$  -   ,Outros
608,14/12/2024,219,0219 - COPO CANUDO SLIM - BUBU,1,UATT PRESENTES IMPORTADOS," R$  7,50 "," R$  7,50 ", R$  -   ,Outros
608,14/12/2024,113,0113 - BOLSA TERMICA LANCHEIRA PEQ,2,RMC2 COMERCIO DE VARIEDADES LTDA," R$  23,98 "," R$  23,98 ", R$  -   ,Outros
608,14/12/2024,420,0420 - GARRAFA TERMICA COM CANECA MEU ESPAÇO,1,UATT PRESENTES IMPORTADOS," R$  29,90 "," R$  29,90 ", R$  -   ,Outros
608,14/12/2024,24,0024 - LIXEIRA CARRO MÃE NEOPRENE,1,SIMAS PRESENTARIA COMERCIO DE PRESENTES LTDA," R$  18,90 "," R$  18,90 ", R$  -   ,Outros
607,14/12/2024,562,0562 - COFRE CASA DE POUPANCA PUXADOR MOEDAS,1,XNAMAI IMPORTADORA," R$  40,20 "," R$  8,65 "," R$  122,55 ",Cartão de Crédito
607,14/12/2024,115,0115 - LUMINARIA LED RECADO,1,RMC2 COMERCIO DE VARIEDADES LTDA," R$  15,99 "," R$  8,65 "," R$  41,80 ",Cartão de Crédito
606,13/12/2024,238,0238 - COPO AMER 190ML - NAO ENCHA MEU SACO,1,BRASFOOT," R$  7,98 "," R$  3,55 "," R$  26,60 ",Dinheiro
606,13/12/2024,255,0255 - COPO SMART - PESSOAS ESPECIAIS,1,BRASFOOT," R$  17,98 "," R$  3,55 "," R$  40,85 ",Dinheiro
605,12/12/2024,23,0023 - ALMOFADA AVÓ 30X30,1,SIMAS PRESENTARIA COMERCIO DE PRESENTES LTDA," R$  16,90 "," R$  1,95 "," R$  37,05 ",PIX
604,12/12/2024,422,0422 - CANECA BRANCA COM COADOR,1,UATT PRESENTES IMPORTADOS," R$  23,38 "," R$  3,40 "," R$  64,60 ",Dinheiro
603,12/12/2024,119,0119 - COPO C CANUDO CAFE SERPIA VIDRO,1,RMC2 COMERCIO DE VARIEDADES LTDA," R$  13,99 "," R$  4,85 "," R$  45,60 ",PIX
603,12/12/2024,114,0114 - KIT 3 GARRAFAS COLORIDAS,1,RMC2 COMERCIO DE VARIEDADES LTDA," R$  19,99 "," R$  4,85 "," R$  46,55 ",PIX
602,12/12/2024,600,0600 - COPO INCAN 500ML JACK SKELLINGTON COFRE,1,ZONA CRIATIVA," R$  19,90 "," R$  3,95 "," R$  75,05 ",PIX
601,12/12/2024,447,0447 - CANECA MINI TINA 100ML MARIO UP,1,ZONA CRIATIVA," R$  12,90 ", R$  -   ," R$  39,00 ",Cartão de Débito
